1,1,6,50,250
2,1,3,5,0
3,1,3,20,0
4,1,6,200,1000
1,2,1,20,60
2,2,1,5,15
3,2,2,50,0
4,2,5,100,0
5,2,3,20,0
1,3,5,50,0
2,3,5,10,0
3,3,5,20,0
4,3,5,100,0
5,3,6,20,0
6,3,1,50,500
1,4,1,50,120
2,4,5,10,0
3,4,6,50,0
1,5,10,50,400
2,5,7,10,0
3,5,9,20,0
4,5,9,200,0
4,5,10,250,2000
5,5,10,20,160
6,5,10,50,400
1,5,7,40,0
1,6,4,40,160
2,6,3,15,0
3,6,4,50,0
4,6,5,100,0
4,6,4,120,480
5,6,4,10,40
2,7,8,10,0
2,7,7,20,0
3,7,3,50,300
1,8,5,80,320
5,8,8,20,0
1,9,2,60,480
1,9,4,50,0
2,9,3,20,0
2,9,10,20,0
3,9,10,20,0
3,9,2,50,400
4,9,2,200,1600
4,9,6,300,0
5,9,8,30,0
5,9,7,25,0
6,9,2,50,400
6,9,7,40,0
6,9,6,50,0
